name,Cd,Cl,NU,inlet_velocity,angle_of_attack_c,reynolds
airFoil2D_SST_75.517_-3.634_1.762_7.071_1.0_17.343,0.009647349807779072,0.0024740725598058483,1.5498148291427463e-05,75.517,-3.634,4872646.6271955175
airFoil2D_SST_33.854_5.282_1.425_3.167_15.694,0.012028741015702529,0.003990800945856563,1.5498148291427463e-05,33.854,5.282,2184389.9905594373
airFoil2D_SST_58.363_5.802_5.647_2.966_16.926,0.014615406218680918,0.006991862424197758,1.5498148291427463e-05,58.363,5.802,3765804.72083123
airFoil2D_SST_73.976_-2.934_2.212_6.681_0.0_13.706,0.00881401464606518,0.0018009257643681665,1.5498148291427463e-05,73.976,-2.934,4773215.3937976295
airFoil2D_SST_79.772_4.995_1.474_5.989_1.0_19.22,0.01118755916500428,0.003937110922800217,1.5498148291427463e-05,79.772,4.995,5147195.555234462
airFoil2D_SST_37.873_9.4_1.304_6.497_15.782,0.015437477221028954,0.007810515457519905,1.5498148291427463e-05,37.873,9.4,2443711.2929774197
airFoil2D_SST_84.89_-2.91_3.76_7.573_1.0_16.205,0.009292460940546782,0.0023117289702964576,1.5498148291427463e-05,84.89,-2.9099999999999997,5477428.554929717
airFoil2D_SST_67.701_0.938_6.996_0.0_15.872,0.009233843410694678,0.0019341441481856747,1.5498148291427463e-05,67.701,0.9379999999999998,4368328.314257236
airFoil2D_SST_89.829_-0.442_0.995_5.61_15.75,0.008778524246423473,0.0017958086383278273,1.5498148291427463e-05,89.829,-0.442,5796111.787734498
airFoil2D_SST_32.058_11.514_6.565_6.266_9.329,0.029090436574999035,0.022102920556222427,1.5498148291427463e-05,32.058,11.514000000000001,2068505.1786304263
airFoil2D_SST_34.735_11.28_5.283_0.0_8.444,0.017453053293955405,0.011397918324866838,1.5498148291427463e-05,34.735,11.28,2241235.491288535
airFoil2D_SST_53.127_-0.9_3.678_4.25_0.0_19.817,0.010806438653775848,0.0030376284012584203,1.5498148291427463e-05,53.127,-0.9,3427957.908325493
airFoil2D_SST_57.861_12.67_1.489_5.729_0.0_7.279,0.01976346859894027,0.014356890687137561,1.5498148291427463e-05,57.861,12.67,3733413.754467998
airFoil2D_SST_83.993_10.542_3.978_6.293_1.0_14.147,0.016643469226612216,0.00981528248639342,1.5498148291427463e-05,83.993,10.542,5419550.672802588
airFoil2D_SST_80.393_8.386_1.422_6.966_0.0_12.002,0.011636324996348637,0.004957734540890249,1.5498148291427463e-05,80.393,8.386,5187264.858245551
airFoil2D_SST_76.326_4.848_6.47_5.914_13.755,0.01430574669620412,0.007045495860197639,1.5498148291427463e-05,76.326,4.848,4924846.411633474
airFoil2D_SST_75.499_6.002_1.282_3.521_1.0_11.092,0.009740565016752257,0.0029263646449859252,1.5498148291427463e-05,75.499,6.002,4871485.198122731
airFoil2D_SST_71.537_3.727_0.431_7.207_1.0_16.228,0.009812585572076812,0.0025854967028552953,1.5498148291427463e-05,71.537,3.727,4615841.754435237
airFoil2D_SST_84.992_0.829_4.757_0.0_19.245,0.009647018567261837,0.002447664943728133,1.5498148291427463e-05,84.992,0.8289999999999998,5484009.9863421675
airFoil2D_SST_65.935_11.113_1.297_2.503_15.395,0.0157939122926998,0.008902236734293332,1.5498148291427463e-05,65.935,11.113,4254379.217449534
airFoil2D_SST_66.608_2.079_2.844_2.579_9.286,0.00855372913210995,0.0015089790849332273,1.5498148291427463e-05,66.608,2.079,4297803.760004225
airFoil2D_SST_43.97_10.071_0.307_0.0_17.818,0.01533924566190292,0.007828633282253956,1.5498148291427463e-05,43.97,10.071,2837113.1294647153
airFoil2D_SST_66.114_8.17_6.33_4.273_10.506,0.015470332251863367,0.0083549160146215,1.5498148291427463e-05,66.114,8.17,4265928.984340009
airFoil2D_SST_49.168_-0.213_1.505_6.78_0.0_10.288,0.00859715368233269,0.0011973367927359327,1.5498148291427463e-05,49.168,-0.21300000000000002,3172508.0361501276
airFoil2D_SST_41.397_8.271_5.385_1.669_5.718,0.014082610313128983,0.006930301950866827,1.5498148291427463e-05,41.397,8.271,2671093.2958938098
airFoil2D_SST_62.676_-1.523_2.471_6.677_0.0_10.086,0.008303211835765982,0.0012541634367554517,1.5498148291427463e-05,62.676,-1.523,4044096.0314380373
airFoil2D_SST_80.912_10.945_6.726_0.0_15.792,0.014222951868657905,0.007572870798073457,1.5498148291427463e-05,80.912,10.945,5220752.72984419
airFoil2D_SST_44.727_7.253_2.701_3.319_1.0_7.813,0.011317439091581541,0.0042216719258342745,1.5498148291427463e-05,44.727,7.253000000000001,2885957.67435907
airFoil2D_SST_52.526_2.212_4.618_3.827_10.191,0.009820627361970782,0.0023920008327103733,1.5498148291427463e-05,52.526,2.212,3389179.082061943
airFoil2D_SST_67.316_-3.017_6.793_2.558_11.687,0.009412277732493476,0.0025344908100241557,1.5498148291427463e-05,67.316,-3.017,4343486.636867109
airFoil2D_SST_34.343_8.933_2.915_3.012_19.934,0.01877743947913582,0.010658406007681004,1.5498148291427463e-05,34.343,8.933,2215942.147036769
airFoil2D_SST_45.011_11.975_3.184_4.167_15.877,0.02177300864601931,0.01445022356633213,1.5498148291427463e-05,45.011,11.975,2904282.444174126
airFoil2D_SST_68.639_-1.768_1.619_3.151_13.57,0.00876129146718323,0.0016108198308694415,1.5498148291427463e-05,68.639,-1.768,4428851.67371682
airFoil2D_SST_34.55_9.924_0.765_3.332_0.0_6.065,0.01613465713367444,0.010343587903125501,1.5498148291427463e-05,34.55,9.924,2229298.581373798
airFoil2D_SST_75.03_3.282_5.553_1.947_9.749,0.0099391232759454,0.002944294974941281,1.5498148291427463e-05,75.03,3.282,4841223.51839294
airFoil2D_SST_46.935_11.591_5.802_5.705_6.612,0.024522269055997494,0.01863881453745045,1.5498148291427463e-05,46.935,11.591,3028426.307287387
airFoil2D_SST_56.353_10.069_1.42_5.408_1.0_19.742,0.016705607090842376,0.009262165695892357,1.5498148291427463e-05,56.353,10.069,3636111.80770355
airFoil2D_SST_58.417_2.246_2.82_5.584_8.923,0.008893168266560537,0.001710969476030561,1.5498148291427463e-05,58.417,2.246,3769289.0080495854
airFoil2D_SST_92.369_8.861_2.409_3.533_0.0_16.73,0.013156624440564552,0.006328546110904601,1.5498148291427463e-05,92.369,8.860999999999999,5960002.334671965
airFoil2D_SST_86.207_1.627_2.492_4.557_9.268,0.008055535976152002,0.0012989736327901696,1.5498148291427463e-05,86.207,1.627,5562406.4487551665
airFoil2D_SST_43.501_10.071_4.641_5.09_13.543,0.01938752570368729,0.01192976478110905,1.5498148291427463e-05,43.501,10.071,2806851.449734923
airFoil2D_SST_64.711_14.35_0.189_3.829_0.0_9.846,0.022607269338922733,0.017237184285137975,1.5498148291427463e-05,64.711,14.350000000000001,4175402.0405001407
airFoil2D_SST_70.363_10.191_0.565_5.235_12.884,0.013513219642520695,0.006897382018589565,1.5498148291427463e-05,70.363,10.191,4540090.769354691
airFoil2D_SST_84.129_6.313_2.832_5.727_1.0_9.564,0.010072973348872305,0.003372028227653853,1.5498148291427463e-05,84.129,6.312999999999999,5428325.914685855
airFoil2D_SST_52.827_11.073_1.128_7.058_1.0_10.839,0.015453407559158782,0.008864669364944856,1.5498148291427463e-05,52.827,11.073,3408600.757112406
airFoil2D_SST_66.588_7.008_2.371_0.0_11.333,0.010318636049052624,0.0035075047960810377,1.5498148291427463e-05,66.588,7.007999999999999,4296513.283256685
airFoil2D_SST_34.601_4.176_5.939_6.481_11.039,0.01450547325268914,0.006497476851485743,1.5498148291427463e-05,34.601,4.176,2232589.2970800227
airFoil2D_SST_45.576_6.785_5.522_6.116_11.275,0.0155165346760783,0.007958739227113347,1.5498148291427463e-05,45.576,6.785,2940738.412292105
airFoil2D_SST_50.778_5.274_3.166_0.0_6.833,0.00916874117747242,0.002352305090538889,1.5498148291427463e-05,50.778,5.274,3276391.4143270254
airFoil2D_SST_46.92_12.697_1.222_7.385_0.0_13.444,0.019310959303129115,0.012503734130118833,1.5498148291427463e-05,46.92,12.697000000000001,3027458.449726733
airFoil2D_SST_42.444_-2.735_2.719_5.132_0.0_18.918,0.010885833574110515,0.002951155260411753,1.5498148291427463e-05,42.444,-2.735,2738649.753627482
airFoil2D_SST_55.746_-4.682_0.208_0.0_16.346,0.01049526035037826,0.0030193005614219852,1.5498148291427463e-05,55.746,-4.682,3596945.8384157387
airFoil2D_SST_51.046_-1.078_2.412_3.669_1.0_10.87,0.008664549766496327,0.0013346671517360704,1.5498148291427463e-05,51.046,-1.078,3293683.8027440496
airFoil2D_SST_67.2_1.74_0.558_5.716_0.0_11.005,0.008372250890292336,0.0012980987449044967,1.5498148291427463e-05,67.2,1.7400000000000002,4336001.871731382
airFoil2D_SST_62.922_8.801_2.248_5.618_1.0_8.267,0.012198239880129358,0.005610956959311435,1.5498148291427463e-05,62.922,8.801,4059968.895432768
airFoil2D_SST_33.263_-1.073_1.438_5.145_15.567,0.010359685668590381,0.002248498404174625,1.5498148291427463e-05,33.263,-1.073,2146256.402669657
airFoil2D_SST_67.163_1.039_3.194_3.045_0.0_19.293,0.010391748237052113,0.0028990598491924835,1.5498148291427463e-05,67.163,1.039,4333614.489748434
airFoil2D_SST_75.993_6.792_4.581_6.945_9.388,0.013172838042508185,0.0063853925178518865,1.5498148291427463e-05,75.993,6.792,4903359.973786947
airFoil2D_SST_51.554_-3.382_1.05_1.734_8.866,0.008558179953090059,0.0014433731569763867,1.5498148291427463e-05,51.554,-3.382,3326461.912131543
airFoil2D_SST_35.486_8.246_3.212_7.038_0.0_8.761,0.01371212580331261,0.006336990162845284,1.5498148291427463e-05,35.486,8.246,2289692.893158628
airFoil2D_SST_37.536_7.045_1.679_6.067_0.0_9.211,0.011574579770050638,0.004225393880631279,1.5498148291427463e-05,37.536,7.045,2421966.7597813862
airFoil2D_SST_38.382_-2.604_2.772_5.791_0.0_9.112,0.008971482450230725,0.0015610085114455769,1.5498148291427463e-05,38.382,-2.6040000000000005,2476553.92620229
airFoil2D_SST_58.589_3.413_1.856_0.0_19.944,0.010921779359398413,0.003287147926339276,1.5498148291427463e-05,58.589,3.413,3780387.1080784216
airFoil2D_SST_40.39_-2.548_1.735_6.956_1.0_14.447,0.009856095923816102,0.0020916519573149174,1.5498148291427463e-05,40.39,-2.5479999999999996,2606117.791655216
airFoil2D_SST_72.412_-3.963_1.951_3.133_0.0_18.479,0.010018928824520459,0.002716002323069211,1.5498148291427463e-05,72.412,-3.9630000000000005,4672300.1121400725
airFoil2D_SST_61.489_13.586_3.556_5.162_1.0_9.389,0.021490912377779503,0.015321379066335386,1.5498148291427463e-05,61.489,13.586,3967506.236471591
airFoil2D_SST_67.376_-1.324_5.74_0.0_16.099,0.009323245886119932,0.0020081891366846624,1.5498148291427463e-05,67.376,-1.324,4347358.067109726
airFoil2D_SST_83.668_-0.154_1.841_7.055_1.0_10.304,0.007902630604409527,0.0011016116014138913,1.5498148291427463e-05,83.668,-0.154,5398580.425655079
airFoil2D_SST_55.399_13.545_0.692_1.92_13.624,0.01994316799806435,0.013454535338524209,1.5498148291427463e-05,55.399,13.544999999999998,3574556.066845935
airFoil2D_SST_75.716_10.614_3.207_6.214_1.0_15.508,0.016760628898344093,0.009806833425399083,1.5498148291427463e-05,75.716,10.614,4885486.870833531
airFoil2D_SST_31.577_2.75_2.604_4.088_17.312,0.011948138293437204,0.003647990124521282,1.5498148291427463e-05,31.577,2.75,2037469.2128521109
airFoil2D_SST_67.405_9.678_1.974_4.156_1.0_7.641,0.012813632720576097,0.006555580113742767,1.5498148291427463e-05,67.405,9.678,4349229.258393657
airFoil2D_SST_51.199_-0.181_1.595_2.578_15.763,0.009704159067090462,0.0020795746357337073,1.5498148291427463e-05,51.199,-0.181,3303555.9498627232
airFoil2D_SST_35.112_7.306_1.701_4.965_1.0_14.943,0.01324798614760015,0.005399985568693244,1.5498148291427463e-05,35.112,7.305999999999999,2265560.977979647
airFoil2D_SST_34.112_-0.415_3.388_0.0_19.649,0.011367968656560682,0.0030881429636048217,1.5498148291427463e-05,34.112,-0.415,2201037.140602692
airFoil2D_SST_84.367_14.837_0.843_4.812_12.138,0.02196003630441303,0.016254429698399322,1.5498148291427463e-05,84.367,14.837000000000002,5443682.5879815705
airFoil2D_SST_36.716_13.365_2.832_4.656_6.353,0.03142265173979613,0.02687879595613856,1.5498148291427463e-05,36.716,13.364999999999998,2369057.213132283
airFoil2D_SST_54.659_-1.288_3.39_5.902_1.0_17.771,0.010266884539049831,0.002652489193139013,1.5498148291427463e-05,54.659,-1.2879999999999998,3526808.4271869883
airFoil2D_SST_63.407_2.516_0.644_0.0_14.406,0.009222242701435452,0.0019351184487215786,1.5498148291427463e-05,63.407,2.516,4091262.9565605912
airFoil2D_SST_76.649_-1.002_0.565_6.903_0.0_17.102,0.009308879067169673,0.0020925605887739886,1.5498148291427463e-05,76.649,-1.002,4945687.611106231
airFoil2D_SST_78.532_2.95_3.563_6.242_1.0_17.015,0.010609405048144269,0.0033704375113299584,1.5498148291427463e-05,78.532,2.95,5067185.996887037
airFoil2D_SST_67.163_10.587_0.788_5.665_0.0_11.027,0.013911875886300638,0.007472941678315131,1.5498148291427463e-05,67.163,10.587,4333614.489748434
airFoil2D_SST_56.878_-0.901_1.896_4.81_0.0_18.072,0.01006506002333429,0.002463298475280295,1.5498148291427463e-05,56.878,-0.901,3669986.8223264515
airFoil2D_SST_58.234_2.816_0.31_7.672_1.0_13.007,0.009167771520942692,0.0018542077596412567,1.5498148291427463e-05,58.234,2.8159999999999994,3757481.145809603
airFoil2D_SST_61.412_4.232_2.843_5.008_0.0_16.473,0.011070192912295267,0.0036128978207702863,1.5498148291427463e-05,61.412,4.232,3962537.9009935656
airFoil2D_SST_75.854_8.667_1.688_7.032_1.0_12.494,0.012252631759170796,0.005475607833014436,1.5498148291427463e-05,75.854,8.667,4894391.160391551
airFoil2D_SST_40.175_10.442_1.962_3.054_0.0_6.878,0.015336709931103228,0.009055238559644763,1.5498148291427463e-05,40.175,10.442,2592245.1666191705
airFoil2D_SST_39.064_11.865_5.605_6.208_12.05,0.02702771960718337,0.01985687262056574,1.5498148291427463e-05,39.064,11.865,2520559.1832933733
airFoil2D_SST_59.251_2.558_1.39_5.544_0.0_12.531,0.009156966099512238,0.0018581168500347953,1.5498148291427463e-05,59.251,2.558,3823101.8884219658
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,0.013451634217495508,0.005669514850693683,1.5498148291427463e-05,31.803,7.291,2052051.6000993026
airFoil2D_SST_85.062_9.693_0.727_6.947_0.0_17.293,0.013558881208590503,0.006693335551808341,1.5498148291427463e-05,85.062,9.692999999999998,5488526.654958554
airFoil2D_SST_81.593_1.477_4.456_6.219_9.635,0.009122155049265142,0.002197584946246854,1.5498148291427463e-05,81.593,1.477,5264693.463097896
airFoil2D_SST_68.014_-2.892_1.441_4.122_0.0_9.246,0.008128926526620343,0.001277384335525282,1.5498148291427463e-05,68.014,-2.892,4388524.275356223
airFoil2D_SST_68.546_13.064_0.074_6.34_14.575,0.017785183881672655,0.011342088029097685,1.5498148291427463e-05,68.546,13.064,4422850.956840764
airFoil2D_SST_75.235_-0.236_2.204_6.684_13.159,0.008740588639011167,0.001659212222287557,1.5498148291427463e-05,75.235,-0.23599999999999996,4854450.905055216
airFoil2D_SST_41.234_3.266_1.07_5.786_0.0_14.875,0.010426906247468119,0.002610809156775645,1.5498148291427463e-05,41.234,3.266,2660575.910401366
airFoil2D_SST_34.539_5.856_1.783_2.332_5.584,0.010467711957103956,0.003356467698374962,1.5498148291427463e-05,34.539,5.856,2228588.819162652
airFoil2D_SST_78.079_9.32_4.225_3.07_14.673,0.015380159767492702,0.008373469930929847,1.5498148291427463e-05,78.079,9.32,5037956.698555276
airFoil2D_SST_77.362_11.678_4.986_6.817_10.94,0.022047873753600757,0.01565246885520079,1.5498148291427463e-05,77.362,11.678,4991693.107155999
airFoil2D_SST_78.101_6.186_0.788_6.718_0.0_18.961,0.011510849531728153,0.004295538662783173,1.5498148291427463e-05,78.101,6.186,5039376.222977569
airFoil2D_SST_91.707_-1.557_3.933_4.731_0.0_12.944,0.008421142637450866,0.001675107109884084,1.5498148291427463e-05,91.707,-1.557,5917287.55432842
airFoil2D_SST_87.491_11.397_2.605_5.288_1.0_15.864,0.016682794515426848,0.009960819342226567,1.5498148291427463e-05,87.491,11.397,5645255.055947177
airFoil2D_SST_77.218_-3.36_3.906_6.244_0.0_16.651,0.009519639772292924,0.0024454290568525546,1.5498148291427463e-05,77.218,-3.36,4982401.674573719
airFoil2D_SST_38.797_3.751_1.748_7.04_0.0_19.453,0.012332456193273271,0.004204533032659514,1.5498148291427463e-05,38.797,3.7509999999999994,2503331.3187137265
airFoil2D_SST_66.772_14.214_1.156_6.53_0.0_13.206,0.021405782321033275,0.015166321125407535,1.5498148291427463e-05,66.772,14.214,4308385.669334046
airFoil2D_SST_31.468_13.713_3.339_3.51_6.993,0.029254885774789637,0.024022217832486786,1.5498148291427463e-05,31.468,13.712999999999997,2030436.1145780226
airFoil2D_SST_76.383_3.684_4.72_2.452_9.924,0.009737556744199122,0.002756166324795926,1.5498148291427463e-05,76.383,3.6840000000000006,4928524.27036396
airFoil2D_SST_88.052_-0.854_1.625_0.0_12.894,0.008217076524574131,0.0013500353519208842,1.5498148291427463e-05,88.052,-0.854,5681452.92871565
airFoil2D_SST_54.354_0.507_0.372_4.784_1.0_6.971,0.0077998415432474905,0.0006775180971704005,1.5498148291427463e-05,54.354,0.507,3507128.656787017
airFoil2D_SST_59.071_11.893_0.004_7.304_1.0_11.503,0.0160369679561294,0.009741586488855989,1.5498148291427463e-05,59.071,11.893,3811487.597694114
airFoil2D_SST_55.95_-0.655_0.037_3.255_5.094,0.007459554982068358,0.000474552109581459,1.5498148291427463e-05,55.95,-0.655,3610108.7012406373
airFoil2D_SST_71.532_4.936_3.327_3.104_0.0_12.435,0.01011846377159782,0.003069027323392816,1.5498148291427463e-05,71.532,4.936,4615519.135248351
airFoil2D_SST_73.831_12.535_2.316_4.806_0.0_15.905,0.019000066084302738,0.012250044700606928,1.5498148291427463e-05,73.831,12.535,4763859.437377972
airFoil2D_SST_33.272_14.436_4.837_2.403_9.237,0.030502138708602664,0.024070908432308406,1.5498148291427463e-05,33.272,14.436,2146837.1172060496
airFoil2D_SST_46.058_10.548_1.983_6.7_0.0_8.079,0.015380840916375368,0.008942592919719623,1.5498148291427463e-05,46.058,10.548,2971838.9019077974
airFoil2D_SST_72.178_2.723_1.882_7.797_0.0_16.455,0.009980408908668909,0.002697236165460295,1.5498148291427463e-05,72.178,2.7229999999999994,4657201.534193864
airFoil2D_SST_81.578_11.408_1.805_4.789_16.271,0.016498244845065683,0.00974196372856713,1.5498148291427463e-05,81.578,11.407999999999998,5263725.605537242
airFoil2D_SST_85.127_5.859_1.916_4.91_7.26,0.009310834176861708,0.002900965170564875,1.5498148291427463e-05,85.127,5.859,5492720.704388055
airFoil2D_SST_43.169_8.874_0.517_5.487_13.672,0.013327170317538412,0.006014158258019974,1.5498148291427463e-05,43.169,8.874,2785429.535725774
airFoil2D_SST_36.564_-3.341_0.981_5.647_1.0_9.449,0.00917125029780223,0.0016285171274482836,1.5498148291427463e-05,36.564,-3.341,2359249.589850986
airFoil2D_SST_60.079_0.644_1.528_6.275_1.0_10.952,0.008500733816776245,0.0012883180002458796,1.5498148291427463e-05,60.079,0.6439999999999999,3876527.6257700846
airFoil2D_SST_61.838_-0.434_5.558_2.045_17.601,0.010694388536053895,0.003198143664230918,1.5498148291427463e-05,61.838,-0.434,3990025.0557161486
airFoil2D_SST_63.952_9.03_0.666_3.739_0.0_15.525,0.012990439169274049,0.005931731602562096,1.5498148291427463e-05,63.952,9.03,4126428.4479310317
airFoil2D_SST_86.027_-3.133_3.068_6.365_14.244,0.008850835981107683,0.0019393034996476042,1.5498148291427463e-05,86.027,-3.1330000000000005,5550792.1580273155
airFoil2D_SST_65.41_1.556_0.844_5.048_0.0_11.641,0.008532716787632188,0.0013906248069784806,1.5498148291427463e-05,65.41,1.5559999999999998,4220504.202826632
airFoil2D_SST_81.1_-3.152_4.53_2.464_15.089,0.009130149314023324,0.002181415690986667,1.5498148291427463e-05,81.1,-3.152,5232883.211271057
airFoil2D_SST_56.3_12.327_1.959_6.913_0.0_15.094,0.019393414636615168,0.012442277695296886,1.5498148291427463e-05,56.3,12.327,3632692.0443225713
airFoil2D_SST_56.452_0.864_3.8_7.348_0.0_19.123,0.011309613366065912,0.0036054660693069993,1.5498148291427463e-05,56.452,0.864,3642499.6676038685
airFoil2D_SST_62.825_11.53_0.716_6.453_1.0_14.743,0.01595754935472979,0.009161807546964955,1.5498148291427463e-05,62.825,11.529999999999998,4053710.0832072035
airFoil2D_SST_82.258_8.716_1.254_6.814_0.0_15.773,0.012625681529433004,0.005733678465498321,1.5498148291427463e-05,82.258,8.716,5307601.814953571
airFoil2D_SST_35.655_-1.157_0.274_7.435_1.0_6.16,0.008259402937983157,0.0007128037094674108,1.5498148291427463e-05,35.655,-1.157,2300597.4216753338
airFoil2D_SST_49.175_3.676_2.766_4.974_17.731,0.011780497934846564,0.003979659549884473,1.5498148291427463e-05,49.175,3.676,3172959.703011766
airFoil2D_SST_88.377_11.031_2.891_2.555_14.289,0.015835224074810063,0.009187639834463468,1.5498148291427463e-05,88.377,11.031000000000002,5702423.17586316
airFoil2D_SST_69.469_11.351_3.624_6.267_1.0_8.846,0.016413912616151355,0.01002041298457006,1.5498148291427463e-05,69.469,11.351,4482406.458739692
airFoil2D_SST_47.129_9.12_1.443_3.896_18.456,0.015505017968903021,0.00787319238499036,1.5498148291427463e-05,47.129,9.12,3040943.9317385163
airFoil2D_SST_90.277_-2.776_6.739_5.51_14.548,0.009934617914573451,0.0030046021368861807,1.5498148291427463e-05,90.277,-2.776,5825018.466879374
airFoil2D_SST_91.246_7.65_1.621_4.118_0.0_16.778,0.011821700213465687,0.004934452923240875,1.5498148291427463e-05,91.246,7.6499999999999995,5887542.065297644
airFoil2D_SST_88.708_-1.362_0.781_3.831_13.726,0.008387035326440608,0.0014975895133761048,1.5498148291427463e-05,88.708,-1.362,5723780.566034932
airFoil2D_SST_75.666_12.028_0.718_5.597_0.0_17.667,0.017040190873932413,0.010213818863821571,1.5498148291427463e-05,75.666,12.028,4882260.678964684
airFoil2D_SST_46.469_1.046_1.869_1.706_6.605,0.008152512979227436,0.0008592086813862252,1.5498148291427463e-05,46.469,1.0460000000000003,2998358.199069726
airFoil2D_SST_75.091_9.682_2.985_5.899_0.0_11.11,0.013691851856707658,0.006991300214353342,1.5498148291427463e-05,75.091,9.682,4845159.472472934
airFoil2D_SST_38.477_5.932_1.847_6.459_1.0_11.875,0.01139810382226002,0.003740573385524035,1.5498148291427463e-05,38.477,5.932,2482683.690753101
airFoil2D_SST_77.642_4.961_5.538_3.255_19.513,0.014161553631550059,0.006751991366376459,1.5498148291427463e-05,77.642,4.960999999999999,5009759.7816215465
airFoil2D_SST_42.943_-2.484_2.224_7.882_1.0_18.498,0.010787561975365532,0.0028814685993969248,1.5498148291427463e-05,42.943,-2.484,2770847.148478582
airFoil2D_SST_66.517_-4.79_1.812_6.503_0.0_6.067,0.008525048697276823,0.002216565279552072,1.5498148291427463e-05,66.517,-4.79,4291932.090802921
airFoil2D_SST_48.984_9.17_0.173_6.123_0.0_7.955,0.012832706985123708,0.0065012295749376356,1.5498148291427463e-05,48.984,9.169999999999998,3160635.6500727683
airFoil2D_SST_50.077_-4.416_2.834_4.029_1.0_5.156,0.045948577416473964,0.04267973910257052,1.5498148291427463e-05,50.077,-4.416,3231160.20432578
